first_name,middle_name,last_name,relationship,email,phone,stu_id
Gabriela,,parkman,Mother,gabriela.parkman@mail.com,5555558467,67012726
Mayra,,kinnard,Mother,mayra.kinnard@mail.com,5555560995,67012727
Rosemary,,gober,Mother,rosemary.gober@mail.com,5555560662,67012728
Amalia,,dunbar,Mother,amalia.dunbar@mail.com,5555560615,67012729
Roxana,,savoy,Mother,roxana.savoy@mail.com,5555562382,67012730
Amber,,dimaggio,Mother,amber.dimaggio@mail.com,5555556535,67012731
Yazmin,,cherry,Mother,yazmin.cherry@mail.com,5555563484,67012732
Diana,,rau,Mother,diana.rau@mail.com,5555557742,67012733
Georgina,,givens,Mother,georgina.givens@mail.com,5555558507,67012734
Ana,,powers,Mother,ana.powers@mail.com,5555558748,67012735
Alejandra,,juan,Mother,alejandra.juan@mail.com,5555556064,67012736
Loreeyn,,stull,Mother,loreeyn.stull@mail.com,5555560328,67012737
Carlos,,singer,Father,carlos.singer@mail.com,5555556961,67012738
Fiorela,,wescott,Mother,fiorela.wescott@mail.com,5555558419,67012739
Giovanna,,rizzo,Mother,giovanna.rizzo@mail.com,5555561197,67012740
Jovana,,fogg,Mother,jovana.fogg@mail.com,5555559538,67012741
Arcelia,,brian,Mother,arcelia.brian@mail.com,5555556358,67012742
Abigail,,kauffman,Mother,abigail.kauffman@mail.com,5555555624,67012743
Jazmin,,tucci,Mother,jazmin.tucci@mail.com,5555559234,67012744
Danitza,,wolford,Mother,danitza.wolford@mail.com,5555557584,67012745
Liborio,,israel,Stepfather,liborio.israel@mail.com,5555560129,67012746
Lilia,,rayford,Mother,lilia.rayford@mail.com,5555555756,67012747
Giovanna,,oshea,Mother,giovanna.oshea@mail.com,5555561198,67012748
Xenya,,grijalva,Mother,xenya.grijalva@mail.com,5555562854,67012749
Teresa,,perryman,Caregiver,teresa.perryman@mail.com,5555562262,67012750
Efren,,slack,Father,efren.slack@mail.com,5555557034,67012751
Zuleyma,,shriver,Mother,zuleyma.shriver@mail.com,5555563667,67012752
Cinthya,,otte,Mother,cinthya.otte@mail.com,5555562684,67012753
Mayra,,mcghee,Mother,mayra.mcghee@mail.com,5555560536,67012754
Adriana,,spinks,Mother,adriana.spinks@mail.com,5555555677,67012755
Julia,,lyle,Mother,julia.lyle@mail.com,5555559608,67012756
Jessica,,mcculloch,Mother,jessica.mcculloch@mail.com,5555562877,67012757
Briceida,,favela,Family Member,briceida.favela@mail.com,5555555622,67012758
lorena,,quillen,Grandfather,lorena.quillen@mail.com,5555563730,67012759
Ana,,benz,Mother,ana.benz@mail.com,5555556127,67012760
Jennie,,douglass,Mother,jennie.douglass@mail.com,5555559291,67012761
Lesli Maciel,,clement,Mother,lesli maciel.clement@mail.com,5555557405,67012762
Nayely,,borges,Mother,nayely.borges@mail.com,5555561573,67012763
Sandra,,gough,Mother,sandra.gough@mail.com,5555562562,67012764
Karina,,lowry,Mother,karina.lowry@mail.com,5555562407,67012765
Kenya,,fuhrman,Mother,kenya.fuhrman@mail.com,5555556522,67012766
Maria,,lindley,Mother,maria.lindley@mail.com,5555562295,67012767
Ruby,,benoit,Mother,ruby.benoit@mail.com,5555563846,67012768
Gabriela,,preston,Mother,gabriela.preston@mail.com,5555558213,67012769
Lizdey,,sorrell,Mother,lizdey.sorrell@mail.com,5555560253,67012770
Priscila,,shivers,Mother,priscila.shivers@mail.com,5555562015,67012771
Cristina,,berg,Mother,cristina.berg@mail.com,5555559015,67012772
Miroslava,,leger,Mother,miroslava.leger@mail.com,5555561228,67012773
Ivan,,chester,Father,ivan.chester@mail.com,5555563032,67012774
Katia,,beason,Mother,katia.beason@mail.com,5555559787,67012775
Karen,,wyckoff,Mother,karen.wyckoff@mail.com,5555563207,67012776
Esmeralda,,wagner,Mother,esmeralda.wagner@mail.com,5555558196,67012777
Maria,,jarvis,Mother,maria.jarvis@mail.com,5555560740,67012778
Ana,,mcginnis,Mother,ana.mcginnis@mail.com,5555556079,67012779
Guadalupe,,hamilton,Mother,guadalupe.hamilton@mail.com,5555560490,67012780
Amber,,macgregor,Mother,amber.macgregor@mail.com,5555556534,67012781
Judith,,ostrander,Mother,judith.ostrander@mail.com,5555559587,67012782
Diana,,olguin,Mother,diana.olguin@mail.com,5555556110,67012783
Alyssa,,mcnulty,Mother,alyssa.mcnulty@mail.com,5555556022,67012784
Arian,,bradberry,Mother,arian.bradberry@mail.com,5555556382,67012785
Alondra,,cobos,Mother,alondra.cobos@mail.com,5555556001,67012786
Rosemary,,tate,Mother,rosemary.tate@mail.com,5555560661,67012787
Julie,,delk,Mother,julie.delk@mail.com,5555562518,67012788
Elizabeth,,coy,Mother,elizabeth.coy@mail.com,5555558015,67012789
Sara,,lawler,Mother,sara.lawler@mail.com,5555562588,67012790
Alain,,pineda,Father,alain.pineda@mail.com,5555563785,67012791
Samantha,,place,Mother,samantha.place@mail.com,5555562821,67012792
Arcelia,,lake,Mother,arcelia.lake@mail.com,5555556357,67012793
Jamany,,shrum,Mother,jamany.shrum@mail.com,5555559159,67012794
Eduardo,,briscoe,Father,eduardo.briscoe@mail.com,5555563319,67012795
Norma,,bollinger,Mother,norma.bollinger@mail.com,5555561680,67012796
Mara,,giron,Mother,mara.giron@mail.com,5555560534,67012797
Maria,,hutcherson,Mother,maria.hutcherson@mail.com,5555560433,67012798
Ivette,,irvine,Mother,ivette.irvine@mail.com,5555559085,67012799
Abigail,,tomlinson,Mother,abigail.tomlinson@mail.com,5555555634,67012800
madai,,autry,Mother,madai.autry@mail.com,5555560555,67012801
Alma Rosa,,heckman,Mother,alma rosa.heckman@mail.com,5555555990,67012802
ALEXIS,,nowicki,Mother,alexis.nowicki@mail.com,5555555709,67012803
Yadira,,dillard,Mother,yadira.dillard@mail.com,5555563356,67012804
Lizdey,,blood,Mother,lizdey.blood@mail.com,5555560254,67012805
Esther,,luce,Grandmother,esther.luce@mail.com,5555563674,67012806
Eugenia,,shanklin,Mother,eugenia.shanklin@mail.com,5555560350,67012807
Eugenio,,gorham,Father,eugenio.gorham@mail.com,5555562115,67012808
Erika,,beaman,Mother,erika.beaman@mail.com,5555558613,67012809
Celia,,setzer,Mother,celia.setzer@mail.com,5555556871,67012810
Jessica,,donato,Mother,jessica.donato@mail.com,5555564037,67012811
Carla,,cass,Mother,carla.cass@mail.com,5555556949,67012812
Maria,,lenhart,Grandmother,maria.lenhart@mail.com,5555564028,67012813
Flor,,hull,Mother,flor.hull@mail.com,5555561841,67012814
Dennise,,byrne,Mother,dennise.byrne@mail.com,5555561596,67012815
Berenice,,haun,Mother,berenice.haun@mail.com,5555561123,67012816
Claudia,,russ,Mother,claudia.russ@mail.com,5555563873,67012817
Beatriz,,duong,Mother,beatriz.duong@mail.com,5555556664,67012818
Armando,,housley,Father,armando.housley@mail.com,5555556401,67012819
Xiomara,,ogle,Mother,xiomara.ogle@mail.com,5555563399,67012820
Amy,,demello,Mother,amy.demello@mail.com,5555557461,67012821
Nayeli,,blevins,Mother,nayeli.blevins@mail.com,5555561567,67012822
Monique,,olmstead,Mother,monique.olmstead@mail.com,5555561332,67012823
Kenia,,tyndall,Mother,kenia.tyndall@mail.com,5555559830,67012824
Gisel,,rivard,Mother,gisel.rivard@mail.com,5555561109,67012825
Ana,,glasscock,Mother,ana.glasscock@mail.com,5555556122,67012826
Giselle,,bowling,Mother,giselle.bowling@mail.com,5555558625,67012827
Maritza,,venegas,Mother,maritza.venegas@mail.com,5555560044,67012828
Jamany,,rittenhouse,Mother,jamany.rittenhouse@mail.com,5555559157,67012829
Cristina,,boggess,Mother,cristina.boggess@mail.com,5555560880,67012830
Johanna,,baskin,Mother,johanna.baskin@mail.com,5555559109,67012831
Izadora,,keen,Mother,izadora.keen@mail.com,5555559102,67012832
Kassandra,,le,Mother,kassandra.le@mail.com,5555559776,67012833
Kriss,,bishop,Mother,kriss.bishop@mail.com,5555559924,67012834
Elizabeth,,zepeda,Mother,elizabeth.zepeda@mail.com,5555558003,67012835
Elvia,,andino,Mother,elvia.andino@mail.com,5555557643,67012836
Elsa,,dilworth,Mother,elsa.dilworth@mail.com,5555558279,67012837
Beatriz,,pugh,Aunt,beatriz.pugh@mail.com,5555563844,67012838
Beatriz,,ashby,Grandmother,beatriz.ashby@mail.com,5555563971,67012839
Karmen,,dumas,Mother,karmen.dumas@mail.com,5555559761,67012840
Elisa,,puente,Mother,elisa.puente@mail.com,5555557986,67012841
Melissa,,sharpe,Mother,melissa.sharpe@mail.com,5555561098,67012842
Graciela,,eby,Mother,graciela.eby@mail.com,5555558708,67012843
Tia,,godoy,Mother,tia.godoy@mail.com,5555563013,67012844
Lisette,,weatherford,Mother,lisette.weatherford@mail.com,5555560225,67012845
Monica,,campos,Mother,monica.campos@mail.com,5555560562,67012846
Cynthia,,billington,Mother,cynthia.billington@mail.com,5555556014,67012847
Jessie,,copper,Father,jessie.copper@mail.com,5555558436,67012848
Flor,,foy,Mother,flor.foy@mail.com,5555561839,67012849
Ramona,,stoker,Mother,ramona.stoker@mail.com,5555562107,67012850
Ramona,,warner,Mother,ramona.warner@mail.com,5555562108,67012851
Mikay,,march,Mother,mikay.march@mail.com,5555561200,67012852
Xotchil,,lehman,Mother,xotchil.lehman@mail.com,5555563392,67012853
Mayra,,candelario,Mother,mayra.candelario@mail.com,5555560988,67012854
Guadalupe,,cofer,Mother,guadalupe.cofer@mail.com,5555560304,67012855
Ashly,,soper,Mother,ashly.soper@mail.com,5555558687,67012856
Stephanie,,yanez,Mother,stephanie.yanez@mail.com,5555556019,67012857
Emmeline,,vickery,Mother,emmeline.vickery@mail.com,5555558086,67012858
Briceyda,,back,Mother,briceyda.back@mail.com,5555556833,67012859
Margarita,,hackney,Mother,margarita.hackney@mail.com,5555560579,67012860
Natalie,,tyree,Mother,natalie.tyree@mail.com,5555561782,67012861
Janeth,,broome,Mother,janeth.broome@mail.com,5555559115,67012862
Evelyn,,abeyta,Mother,evelyn.abeyta@mail.com,5555558263,67012863
Yadira,,casanova,Mother,yadira.casanova@mail.com,5555563355,67012864
Gloria,,graf,Mother,gloria.graf@mail.com,5555558641,67012865
Tania,,haile,Mother,tania.haile@mail.com,5555559148,67012866
Liliana,,cowans,Mother,liliana.cowans@mail.com,5555560168,67012867
Carmen,,barajas,Mother,carmen.barajas@mail.com,5555556239,67012868
George,,morgan,Grandfather,george.morgan@mail.com,5555563936,67012869
Alondra,,foss,Mother,alondra.foss@mail.com,5555556000,67012870
Claudia,,leatherman,Mother,claudia.leatherman@mail.com,5555563872,67012871
Cristina,,blythe,Mother,cristina.blythe@mail.com,5555557416,67012872
Ana,,burchett,Mother,ana.burchett@mail.com,5555556080,67012873
Norma,,hallmark,Mother,norma.hallmark@mail.com,5555561574,67012874
Graciela,,feeney,Mother,graciela.feeney@mail.com,5555558710,67012875
Irene,,dorr,Mother,irene.dorr@mail.com,5555558970,67012876
Kalahan,,marchetti,Mother,kalahan.marchetti@mail.com,5555559641,67012877
Adriana,,theriault,Mother,adriana.theriault@mail.com,5555555690,67012878
Julie,,olinger,Mother,julie.olinger@mail.com,5555562519,67012879
Monzerrath,,jost,Mother,monzerrath.jost@mail.com,5555561357,67012880
Lizbeth,,maples,Mother,lizbeth.maples@mail.com,5555560230,67012881
Xenya,,peter,Mother,xenya.peter@mail.com,5555562855,67012882
Nayeli,,zimmer,Mother,nayeli.zimmer@mail.com,5555561564,67012883
Erika,,arteaga,Mother,erika.arteaga@mail.com,5555558127,67012884
Jovana,,wasserman,Mother,jovana.wasserman@mail.com,5555559539,67012885
Celia,,rockwell,Mother,celia.rockwell@mail.com,5555557094,67012886
Raylene,,ahern,Mother,raylene.ahern@mail.com,5555563044,67012887
Maria,,valle,Mother,maria.valle@mail.com,5555559241,67012888
Giovanna,,bussey,Mother,giovanna.bussey@mail.com,5555561199,67012889
Pedro,,medlin,Father,pedro.medlin@mail.com,5555557927,67012890
Maricela,,jimerson,Mother,maricela.jimerson@mail.com,5555560785,67012891
Maria Elena,,kay,Mother,maria elena.kay@mail.com,5555556599,67012892
Sofia,,christianson,Mother,sofia.christianson@mail.com,5555562749,67012893
Judith,,fick,Mother,judith.fick@mail.com,5555559586,67012894
Maria,,fischer,Mother,maria.fischer@mail.com,5555559682,67012895
Abigail,,shouse,Mother,abigail.shouse@mail.com,5555555633,67012896
Vanita,,ware,Mother,vanita.ware@mail.com,5555563154,67012897
Maria,,mellott,Caregiver,maria.mellott@mail.com,5555559671,67012898
Andrea,,hammock,Aunt,andrea.hammock@mail.com,5555556162,67012899
Alexandra,,catlett,Mother,alexandra.catlett@mail.com,5555555611,67012900
Diana,,brockman,Mother,diana.brockman@mail.com,5555562187,67012901
Krystal,,burgos,Mother,krystal.burgos@mail.com,5555563755,67012902
Stefanie,,posey,Mother,stefanie.posey@mail.com,5555562829,67012903
Liliana,,boring,Mother,liliana.boring@mail.com,5555560156,67012904
Marlen,,pillow,Mother,marlen.pillow@mail.com,5555560863,67012905
Estela,,garretson,Mother,estela.garretson@mail.com,5555558220,67012906
Edna,,guffey,Mother,edna.guffey@mail.com,5555557919,67012907
Lizbeth,,sand,Mother,lizbeth.sand@mail.com,5555558333,67012908
Julia,,gittens,Mother,julia.gittens@mail.com,5555559607,67012909
Oscar,,alvey,Father,oscar.alvey@mail.com,5555561766,67012910
Luz,,delong,Mother,luz.delong@mail.com,5555560510,67012911
Jamany,,schaffner,Mother,jamany.schaffner@mail.com,5555559163,67012912
Karen,,schwab,Mother,karen.schwab@mail.com,5555557185,67012913
Maria,,kaylor,Mother,maria.kaylor@mail.com,5555559242,67012914
Beatriz,,emanuel,Mother,beatriz.emanuel@mail.com,5555556662,67012915
Blanca,,holman,Mother,blanca.holman@mail.com,5555556641,67012916
Karla,,scribner,Mother,karla.scribner@mail.com,5555563090,67012917
Kassandra,,ramos,Mother,kassandra.ramos@mail.com,5555559777,67012918
Flor,,cullen,Mother,flor.cullen@mail.com,5555561840,67012919
Jesus,,hefner,Father,jesus.hefner@mail.com,5555559218,67012920
Ana,,pendleton,Mother,ana.pendleton@mail.com,5555558180,67012921
Monica,,cress,Mother,monica.cress@mail.com,5555561323,67012922
Eugenia,,hoang,Mother,eugenia.hoang@mail.com,5555560351,67012923
Ana,,hufford,Mother,ana.hufford@mail.com,5555556289,67012924
Izadora,,schreiner,Mother,izadora.schreiner@mail.com,5555559103,67012925
Beatriz,,pfeiffer,Aunt,beatriz.pfeiffer@mail.com,5555563845,67012926
Cecilia,,cade,Mother,cecilia.cade@mail.com,5555557090,67012927
Maria,,charron,Mother,maria.charron@mail.com,5555560772,67012928
Fatima,,wasson,Mother,fatima.wasson@mail.com,5555563382,67012929
Maricela,,kozak,Mother,maricela.kozak@mail.com,5555558024,67012930
Guadalupe,,beam,Mother,guadalupe.beam@mail.com,5555558757,67012931
Karina,,smart,Mother,karina.smart@mail.com,5555562408,67012932
Guadalupe,,cram,Mother,guadalupe.cram@mail.com,5555561174,67012933
Erika,,rossman,Mother,erika.rossman@mail.com,5555558104,67012934
Brisa,,ngo,Mother,brisa.ngo@mail.com,5555556823,67012935
Valeria,,duquette,Mother,valeria.duquette@mail.com,5555563108,67012936
Michelle,,callender,Mother,michelle.callender@mail.com,5555562321,67012937
Loreeyn,,boudreau,Mother,loreeyn.boudreau@mail.com,5555560325,67012938
Sara,,kendrick,Mother,sara.kendrick@mail.com,5555562587,67012939
Arantxa,,virgil,Mother,arantxa.virgil@mail.com,5555558927,67012940
Johanna,,abdullah,Mother,johanna.abdullah@mail.com,5555562790,67012941
Karla,,antonio,Mother,karla.antonio@mail.com,5555559857,67012942
Elizabeth,,witcher,Mother,elizabeth.witcher@mail.com,5555560353,67012943
Priscila,,hickson,Mother,priscila.hickson@mail.com,5555562014,67012944
Samantha,,eicher,Mother,samantha.eicher@mail.com,5555562511,67012945
Irma,,welsh,Mother,irma.welsh@mail.com,5555558992,67012946
Jessica,,mcalpine,Mother,jessica.mcalpine@mail.com,5555559328,67012947
Judith,,block,Mother,judith.block@mail.com,5555559584,67012948
Irasema,,mays,Mother,irasema.mays@mail.com,5555558964,67012949
Danissa,,whalen,Mother,danissa.whalen@mail.com,5555557582,67012950
Yael,,cavazos,Mother,yael.cavazos@mail.com,5555563539,67012951
Ana,,cameron,Mother,ana.cameron@mail.com,5555556121,67012952
Amy,,bryant,Mother,amy.bryant@mail.com,5555556068,67012953
John,,herrera,Father,john.herrera@mail.com,5555559465,67012954
Fabiola,,bowens,Mother,fabiola.bowens@mail.com,5555560373,67012955
Abigail,,pace,Mother,abigail.pace@mail.com,5555555632,67012956
Rebeca,,furlong,Mother,rebeca.furlong@mail.com,5555560919,67012957
Elizabeth,,ruvalcaba,Mother,elizabeth.ruvalcaba@mail.com,5555558816,67012958
Elizabeth,,asbury,Mother,elizabeth.asbury@mail.com,5555558815,67012959
Arcelia,,loudermilk,Mother,arcelia.loudermilk@mail.com,5555556356,67012960
Esmeralda,,lindner,Mother,esmeralda.lindner@mail.com,5555561983,67012961
Fernanda,,duda,Mother,fernanda.duda@mail.com,5555558371,67012962
Mayra,,yoshida,Mother,mayra.yoshida@mail.com,5555560996,67012963
Jose,,whittaker,Father,jose.whittaker@mail.com,5555557450,67012964
Amy,,august,Mother,amy.august@mail.com,5555557462,67012965
Ernesto,,farrell,Father,ernesto.farrell@mail.com,5555558042,67012966
Sara,,cone,Mother,sara.cone@mail.com,5555562589,67012967
Eunice,,cade,Mother,eunice.cade@mail.com,5555558235,67012968
Fatima,,mcdaniel,Mother,fatima.mcdaniel@mail.com,5555558323,67012969
ANGIE,,scarlett,Mother,angie.scarlett@mail.com,5555556259,67012970
Marisol,,maxfield,Emergency contact,marisol.maxfield@mail.com,5555564049,67012971
Gloria,,rust,Mother,gloria.rust@mail.com,5555558673,67012972
Daniel,,stuart,Father,daniel.stuart@mail.com,5555557596,67012973
Gabriela,,purnell,Mother,gabriela.purnell@mail.com,5555558457,67012974
Griselda,,roland,Mother,griselda.roland@mail.com,5555558731,67012975
Michelle,,rowlands,Mother,michelle.rowlands@mail.com,5555556071,67012976
Karen,,waterhouse,Mother,karen.waterhouse@mail.com,5555559914,67012977
Jaime,,breen,Father,jaime.breen@mail.com,5555560236,67012978
Nancy,,lail,Mother,nancy.lail@mail.com,5555561506,67012979
Daniel,,staten,Father,daniel.staten@mail.com,5555561763,67012980
Dalia,,rizzo,Mother,dalia.rizzo@mail.com,5555555576,67012981
Francisco,,rickard,Father,francisco.rickard@mail.com,5555558684,67012982
Cristina,,swett,Mother,cristina.swett@mail.com,5555557417,67012983
Briset,,osborn,Mother,briset.osborn@mail.com,5555556821,67012984
Marivel,,rust,Mother,marivel.rust@mail.com,5555557370,67012985
Jennat,,caddell,Mother,jennat.caddell@mail.com,5555559959,67012986
Arturo,,bigelow,Father,arturo.bigelow@mail.com,5555562600,67012987
Alejandra,,elmore,Mother,alejandra.elmore@mail.com,5555555850,67012988
Elsa,,farina,Mother,elsa.farina@mail.com,5555558159,67012989
Arlette,,rushing,Mother,arlette.rushing@mail.com,5555556396,67012990
Rosa,,shoulders,Mother,rosa.shoulders@mail.com,5555557204,67012991
Mayra,,tighe,Mother,mayra.tighe@mail.com,5555560538,67012992
Julia,,boyd,Mother,julia.boyd@mail.com,5555559358,67012993
Celia,,greenway,Mother,celia.greenway@mail.com,5555556872,67012994
Agustin,,treadwell,Father,agustin.treadwell@mail.com,5555557511,67012995
Maria,,nabors,Mother,maria.nabors@mail.com,5555560979,67012996
Brenda,,santiago,Mother,brenda.santiago@mail.com,5555555894,67012997
Ericka,,leblanc,Mother,ericka.leblanc@mail.com,5555563280,67012998
Leslie,,croteau,Mother,leslie.croteau@mail.com,5555556737,67012999
Julie,,escamilla,Mother,julie.escamilla@mail.com,5555562517,67013000
Juan,,masse,Father,juan.masse@mail.com,5555560442,67013001
Laura,,neubauer,Mother,laura.neubauer@mail.com,5555560012,67013002
Macrina,,kirchner,Mother,macrina.kirchner@mail.com,5555561028,67013003
Angel,,lacy,Father,angel.lacy@mail.com,5555556193,67013004
Jhoanna,,jaynes,Mother,jhoanna.jaynes@mail.com,5555559364,67013005
Delia,,cyrus,Mother,delia.cyrus@mail.com,5555561545,67013006
Fabia,,vasquez,Mother,fabia.vasquez@mail.com,5555558378,67013007
Natalia,,coon,Grandmother,natalia.coon@mail.com,5555556182,67013008
Ennid,,brumley,Mother,ennid.brumley@mail.com,5555558763,67013009
Pabelly,,sorrell,Mother,pabelly.sorrell@mail.com,5555557279,67013010
Mayra,,bixler,Caregiver,mayra.bixler@mail.com,5555561014,67013011
Junell,,cram,Mother,junell.cram@mail.com,5555559362,67013012
Georgina,,nava,Mother,georgina.nava@mail.com,5555558506,67013013
Maria,,wong,Mother,maria.wong@mail.com,5555559683,67013014
Karla,,vanlandingham,Mother,karla.vanlandingham@mail.com,5555559747,67013015
Maria,,presley,Mother,maria.presley@mail.com,5555559002,67013016
Mariana,,thompkins,Mother,mariana.thompkins@mail.com,5555561641,67013017
Lizeth,,hurt,Caregiver,lizeth.hurt@mail.com,5555562110,67013018
Jamany,,duda,Mother,jamany.duda@mail.com,5555559162,67013019
Isela,,kessinger,Mother,isela.kessinger@mail.com,5555559030,67013020
Maricela,,carlos,Mother,maricela.carlos@mail.com,5555560790,67013021
Diana,,riordan,Mother,diana.riordan@mail.com,5555562188,67013022
Priscilla,,tribble,Mother,priscilla.tribble@mail.com,5555558615,67013023
Jeanette,,arnett,Mother,jeanette.arnett@mail.com,5555559265,67013024
Alexandra,,tom,Mother,alexandra.tom@mail.com,5555555903,67013025
Janet,,luciano,Mother,janet.luciano@mail.com,5555559188,67013026
Rosa,,bouldin,Mother,rosa.bouldin@mail.com,5555562305,67013027
Carmen,,reeve,Mother,carmen.reeve@mail.com,5555556980,67013028
Emellie,,pullen,Mother,emellie.pullen@mail.com,5555562524,67013029
Kimberly,,ashworth,Mother,kimberly.ashworth@mail.com,5555559869,67013030
Elisa,,denman,Mother,elisa.denman@mail.com,5555557984,67013031
Maria,,seeger,Mother,maria.seeger@mail.com,5555562487,67013032
Cinthya,,mathis,Mother,cinthya.mathis@mail.com,5555562683,67013033
Luis,,witte,Father,luis.witte@mail.com,5555560411,67013034
Alfredo,,crutchfield,Father,alfredo.crutchfield@mail.com,5555563901,67013035
Elda,,burroughs,Mother,elda.burroughs@mail.com,5555558077,67013036
Nayely,,qualls,Aunt,nayely.qualls@mail.com,5555561572,67013037
MARIA,,bolick,Mother,maria.bolick@mail.com,5555561985,67013038
Maria Elena,,hite,Mother,maria elena.hite@mail.com,5555556600,67013039
Diana,,arbuckle,Mother,diana.arbuckle@mail.com,5555557762,67013040
Stephanie,,gill,Mother,stephanie.gill@mail.com,5555562615,67013041
Stephanie,,hewitt,Mother,stephanie.hewitt@mail.com,5555562616,67013042
Alba,,mulholland,Mother,alba.mulholland@mail.com,5555558958,67013043
Nancy,,hermann,Mother,nancy.hermann@mail.com,5555561508,67013044
Carolina,,himes,Mother,carolina.himes@mail.com,5555557907,67013045
Janneth,,stearns,Court Appointed Guardian,janneth.stearns@mail.com,5555559200,67013046
Omar,,swartz,Father,omar.swartz@mail.com,5555561628,67013047
Emily,,jimenez,Family Member,emily.jimenez@mail.com,5555558076,67013048
Griselda,,harbin,Mother,griselda.harbin@mail.com,5555558729,67013049
Pedro,,arsenault,Father,pedro.arsenault@mail.com,5555561947,67013050
Vianey,,robinette,Mother,vianey.robinette@mail.com,5555557696,67013051
Gustavo,,bellows,Father,gustavo.bellows@mail.com,5555558778,67013052
Silvia Yesenia,,bricker,Mother,silvia yesenia.bricker@mail.com,5555558773,67013053
Karla,,satterwhite,Mother,karla.satterwhite@mail.com,5555559758,67013054
Irasema,,creighton,Mother,irasema.creighton@mail.com,5555558962,67013055
Yazmin,,lund,Mother,yazmin.lund@mail.com,5555563483,67013056
Blanca,,campbell,Mother,blanca.campbell@mail.com,5555558399,67013057
Yadira,,keller,Mother,yadira.keller@mail.com,5555563357,67013058
Jessica,,rue,Mother,jessica.rue@mail.com,5555562878,67013059
Zuky,,tice,Mother,zuky.tice@mail.com,5555563664,67013060
Claudia,,countryman,Mother,claudia.countryman@mail.com,5555563960,67013061
Junell,,presley,Mother,junell.presley@mail.com,5555559361,67013062
Nayely,,pritchett,Mother,nayely.pritchett@mail.com,5555561571,67013063
Dennise,,levin,Mother,dennise.levin@mail.com,5555561595,67013064
Kenia,,cadena,Mother,kenia.cadena@mail.com,5555559829,67013065
Dalia,,farwell,Mother,dalia.farwell@mail.com,5555558620,67013066
Mayra,,whiteside,Mother,mayra.whiteside@mail.com,5555560525,67013067
